         16789652 function calls (16783228 primitive calls) in 30.542 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3109   19.191    0.006   19.191    0.006 {method 'recv_into' of '_socket.socket' objects}
     3109    0.939    0.000    0.939    0.000 {method 'connect' of '_socket.socket' objects}
  1265363    0.629    0.000    1.577    0.000 <frozen os>:674(__getitem__)
  1311998    0.607    0.000    2.414    0.000 <frozen _collections_abc>:859(__iter__)
     6218    0.505    0.000    2.895    0.000 request.py:2499(getproxies_environment)
  1265363    0.467    0.000    0.947    0.000 <frozen os>:748(encodekey)
     6223    0.326    0.000    0.326    0.000 {built-in method nt.stat}
  1265363    0.275    0.000    0.361    0.000 <frozen os>:742(check_str)
  1243600    0.254    0.000    0.254    0.000 <frozen os>:697(__iter__)
    15545    0.186    0.000    0.261    0.000 url.py:210(_encode_invalid_chars)
  1781471    0.182    0.000    0.254    0.000 {built-in method builtins.isinstance}
     9327    0.168    0.000    0.168    0.000 {built-in method winreg.QueryValueEx}
     3109    0.148    0.000    0.148    0.000 socket.py:220(__init__)
     6218    0.134    0.000    0.134    0.000 {built-in method winreg.OpenKey}
     3109    0.129    0.000    0.129    0.000 {function socket.close at 0x0000026EAE10BBA0}
     6218    0.127    0.000    0.127    0.000 {method 'sendall' of '_socket.socket' objects}
  1240497    0.126    0.000    0.126    0.000 {method 'lower' of 'str' objects}
  1280908    0.123    0.000    0.123    0.000 {method 'upper' of 'str' objects}
     9327    0.117    0.000    0.519    0.000 url.py:333(parse_url)
    31090    0.099    0.000    0.166    0.000 parse.py:374(urlparse)
    27981    0.093    0.000    0.239    0.000 <frozen _collections_abc>:941(update)
   105706    0.088    0.000    0.088    0.000 {method 'match' of 're.Pattern' objects}
    34199    0.073    0.000    0.176    0.000 queue.py:122(put)
    37308    0.071    0.000    0.170    0.000 queue.py:154(get)
    21763    0.069    0.000    0.119    0.000 client.py:1242(putheader)
   105706    0.061    0.000    0.073    0.000 structures.py:46(__setitem__)
     3109    0.060    0.000   22.744    0.007 connectionpool.py:522(urlopen)
     3109    0.058    0.000    0.138    0.000 feedparser.py:469(_parse_headers)
     3109    0.057    0.000   24.321    0.008 sessions.py:671(send)
     6218    0.057    0.000    0.374    0.000 feedparser.py:216(_parsegen)
     1552    0.055    0.000   24.041    0.015 track2Command.py:59(sendTrackingInfo)
     3109    0.055    0.000   22.096    0.007 connectionpool.py:361(_make_request)
    43532    0.051    0.000    0.057    0.000 parse.py:119(_coerce_args)
     3109    0.051    0.000    0.498    0.000 utils.py:194(get_netrc_auth)
    24872    0.049    0.000    0.102    0.000 message.py:489(get)
